feature_set,alpha,n_features,loo_mae,loo_rmse,loo_spearman,loo_pair_acc,h012_pred_loo,h012_actual,h010_pred_loo,h010_actual,e323_pred_loo,e323_actual,e247_pred_loo,e247_actual
axes_state,100.0,94,42.86272757103161,191.67462583037542,0.5624060150375939,0.7526315789473684,0.6070668974544559,0.5681234831,0.578048294119812,0.5781718175,0.5848128797441788,0.5770355016,-856.6188259559906,0.5761589494
axes_state,1.0,94,75.84751502911696,339.1685097707503,0.35488721804511275,0.6894736842105263,0.692345273822509,0.5681234831,0.5769147278893192,0.5781718175,0.5716352921999236,0.5770355016,1517.3838411959566,0.5761589494
axes_state,10.0,94,80.23346838234934,358.8004023297887,0.631578947368421,0.8157894736842105,0.6115647251188251,0.5681234831,0.5775064350148187,0.5781718175,0.5883081550723529,0.5770355016,-1604.0280203463503,0.5761589494
axes,100.0,40,96.99274286023469,433.72746931671367,0.22857142857142856,0.6052631578947368,0.7028447287779565,0.5681234831,0.5786798204265731,0.5781718175,0.5888763991408089,0.5770355016,-1939.1120465275628,0.5761589494
axes_state,0.1,94,201.5613595031537,901.3606670445914,0.3037593984962406,0.6736842105263158,0.7579939698127206,0.5681234831,0.5760044124243348,0.5781718175,0.561135046066725,0.5770355016,4031.5836019557246,0.5761589494
axes_state,0.01,94,218.3569854993479,976.4705778855296,0.3037593984962406,0.6736842105263158,0.7702194904607563,0.5681234831,0.5758756078986292,0.5781718175,0.5630886640846637,0.5770355016,4367.485334608763,0.5761589494
axes,0.1,40,326.03243192814404,1458.0086673449293,0.512781954887218,0.6947368421052632,0.7562443170181918,0.5681234831,0.5832855296246571,0.5781718175,0.5470976826226182,0.5770355016,-6519.836822199048,0.5761589494
axes,10.0,40,386.9353061823413,1730.380819426312,0.3398496240601503,0.6473684210526316,0.7353073974468605,0.5681234831,0.5798801853859747,0.5781718175,0.6022359443228446,0.5770355016,-7737.922117599633,0.5761589494
axes,1.0,40,437.55095408061436,1956.7434891348614,0.4541353383458646,0.6526315789473685,0.7462573488954899,0.5681234831,0.5815010533934111,0.5781718175,0.5743529507195482,0.5770355016,-8750.246751706998,0.5761589494
axes,0.01,40,810.0861589979452,3622.7666226520373,0.3578947368421052,0.631578947368421,0.7356103304757756,0.5681234831,0.5851018585442315,0.5781718175,0.5457303057038273,0.5770355016,-16200.928709886864,0.5761589494
